名字,室,厅,面积,朝向,精装还是简装,挂牌价,成交价,价格,建房时间,成交周期
皇后国际,2,1,60.74平米,南,精装,2640000,2640000,43464,中楼层(共32层) 2009年建板塔结合,16
南城都汇汇智园二期,2,2,89.01平米,南,其他,1780000,1780000,19998,中楼层(共18层) 2010年建板塔结合,50
交大卡布里城,2,2,88.74平米,南,简装,934000,940000,10526,高楼层(共25层) 2009年建板塔结合,41
星光华印象,3,2,80平米,北,简装,980000,960000,11938,中楼层(共41层) 2017年建板塔结合,720
中铁双龙湾,2,2,85.58平米,东南,简装,1300000,1280000,14846,低楼层(共20层) 2008年建板塔结合,197
华润橡树湾A区,3,1,79.07平米,西南,精装,1260000,1260000,15936,高楼层(共34层) 2013年建板塔结合,170
华润凤凰城一期,3,1,134平米,西南 西北,精装,3550000,3550000,26493,高楼层(共27层) 2013年建板塔结合,23
金地嘉年华城C区,3,2,119.7平米,东北,精装,2780000,2770000,23142,低楼层(共18层) 2014年建板楼,17
中海翠屏湾,2,1,82.41平米,南,简装,1570000,1570000,19052,高楼层(共18层) 2009年建板塔结合,24
黄金时代(中和街道办吉龙二街),3,2,127.11平米,北,简装,1750000,1750000,13768,高楼层(共18层) 2014年建板塔结合,46
锦宏宝润苑,2,1,42.35平米,南,精装,628000,620000,14452,中楼层(共12层) 2001年建塔楼,154
中铁西郡英华二期,3,1,109.58平米,西北,毛坯,1020000,1020000,9291,低楼层(共31层) 2013年建板塔结合,3
景茂城果,3,2,85.96平米,南,精装,1700000,1620000,18846,中楼层(共24层) 2012年建塔楼,77
电建地产美立方,2,1,57.61平米,东,精装,890000,880000,15241,低楼层(共29层) 2015年建板塔结合,51
洲际银海湾,2,2,79.05平米,南,精装,1160000,1160000,14675,低楼层(共32层) 2016年建板塔结合,25
东原时光道,3,1,83平米,西,精装,1790000,1770000,21326,高楼层(共22层) 2016年建板塔结合,93
中海兰庭,4,2,88.53平米,南 北,精装,3060000,3060000,34565,高楼层(共26层) 2008年建板塔结合,34
西区花园晨之曦,3,2,103.58平米,东南,其他,960000,960000,9269,低楼层(共6层) 2004年建板楼,154
清水路苑,2,1,83.76平米,东,毛坯,1116000,1120000,13324,低楼层(共18层) 2012年建板楼,10
交大智能一期北苑,2,2,81.62平米,东南,简装,910000,910000,11150,中楼层(共7层) 2000年建板楼,14
东苑A区,4,2,153.7平米,南,简装,3700000,3590000,23358,高楼层(共30层) 2008年建板塔结合,360
卓锦城六期,3,2,89.33平米,东南,精装,2030000,2030000,22725,中楼层(共31层) 2014年建板塔结合,41
英国小镇彩舞园,1,1,49.25平米,西北,简装,630000,630000,12792,高楼层(共6层) 板塔结合,19
新里维多利亚公寓,4,1,131.03平米,东南,精装,2720000,2680000,20454,中楼层(共13层) 2005年建板楼,47
蓝光幸福满庭,2,1,46.31平米,东南,其他,765000,760000,16412,低楼层(共26层) 2015年建板塔结合,33
万景峰一期,3,2,86.9平米,南,精装,1110000,1110000,12774,低楼层(共33层) 2012年建板塔结合,33
合江苑,2,2,84.48平米,东,其他,505000,510000,5978,低楼层(共6层) 板楼,71
首创东公元,2,1,77.87平米,东南,其他,1190000,1190000,15282,中楼层(共34层) 2012年建板塔结合,14
保利公园198蔷薇郡,3,1,112.76平米,南,简装,1300000,1300000,11529,低楼层(共27层) 2012年建塔楼,184
金茂光明城市,3,1,89.3平米,东,精装,1900000,1870000,20919,低楼层(共33层) 2016年建板塔结合,95
怡安花园,1,1,47.53平米,东南,简装,680000,670000,14097,中楼层(共9层) 2012年建板楼,67
白莲小区壹号院,3,2,105.96平米,北,简装,889000,890000,8389,高楼层(共6层) 2006年建板楼,327
电建地产美立方,2,1,57.54平米,东,精装,870000,870000,15120,中楼层(共34层) 板塔结合,36
东方惠城B区,2,1,75.04平米,东,简装,940000,940000,12527,低楼层(共33层) 2011年建塔楼,40
万科金域西岭,2,2,90.84平米,西南,其他,1650000,1500000,16458,高楼层(共35层) 2012年建板塔结合,35
华润橡树湾A区,2,1,52.55平米,东北,简装,850000,850000,16176,低楼层(共34层) 2013年建板塔结合,16
荆竹小区8号院,2,1,74.96平米,南,其他,735000,740000,9806,中楼层(共6层) 2008年建板楼,17
时代水岸康城,4,1,90.39平米,东南,精装,1060000,1060000,11727,低楼层(共25层) 2013年建板塔结合,33
颐和京都,3,2,124.98平米,南,精装,2400000,2400000,19204,高楼层(共28层) 2016年建塔楼,71
九龙仓时代小镇,2,1,79平米,南,精装,1080000,1070000,13545,高楼层(共11层) 2015年建板塔结合,153
南城都汇汇晴园五期,3,1,89.41平米,东 西,精装,1900000,1870000,20915,中楼层(共18层) 2014年建板楼,68
银城花树间,2,2,80.9平米,东南,其他,335000,340000,4141,中楼层(共6层) 塔楼,2
麓山国际云曦台,3,1,105.84平米,西南,其他,2230000,2230000,21070,中楼层(共30层) 2015年建板楼,43
朗基御今缘,4,2,117.77平米,东北,精装,2650000,2520000,21398,高楼层(共27层) 2018年建板塔结合,70
永丰场街57号,2,1,77.08平米,南 东北,简装,1000000,1000000,12974,中楼层(共7层) 1998年建板楼,786
成华奥园广场一期,3,2,95.98平米,东南,简装,1930000,1900000,19796,低楼层(共30层) 2016年建板塔结合,27
三度空间,2,1,71.29平米,东,其他,1349000,1350000,18923,中楼层(共24层) 2011年建板楼,162
万景峰一期,3,2,77.93平米,西北,精装,1030000,1030000,13217,低楼层(共33层) 2012年建板塔结合,96
天鹅湖花园,3,2,238.31平米,西南,精装,4450000,4450000,18674,低楼层(共32层) 2008年建板楼,70
蓝光圣菲town城,2,1,66.83平米,东南,简装,900000,900000,13468,高楼层(共23层) 2009年建板塔结合,74
城南名著,4,2,148.18平米,南 北,精装,2230000,2130000,14341,中楼层(共11层) 2007年建板楼,73
电子十所宿舍,3,2,92.45平米,南,简装,860000,860000,9303,高楼层(共6层) 2000年建板楼,377
花样年龙年中心,3,1,89.78平米,南 北,精装,922000,930000,10270,高楼层(共29层) 板塔结合,266
华润橡树湾B区,3,1,62.4平米,东南,精装,1048000,1050000,16795,中楼层(共34层) 2013年建板塔结合,69
新界三期,3,1,87.34平米,南,精装,2100000,2020000,23129,中楼层(共8层) 2011年建板楼,71
海伦春天,3,1,89平米,东,毛坯,1490000,1460000,16405,高楼层(共34层) 2018年建板塔结合,228
蓝光花满庭一期,2,1,77.87平米,南,精装,1150000,1140000,14615,中楼层(共21层) 2009年建板塔结合,13
天府逸家二期,3,2,89.85平米,西 西南,精装,1400000,1340000,14914,高楼层(共41层) 2016年建板塔结合,6
瑞升橡树林华府,2,1,80.23平米,西南,简装,1360000,1340000,16702,中楼层(共26层) 2015年建塔楼,93
国光揽悦,2,1,54.57平米,东,简装,517000,500000,9163,中楼层(共25层) 2014年建塔楼,211
佳兆业丽晶公馆,3,1,88.09平米,西,毛坯,1080000,1080000,12261,中楼层(共34层) 2016年建塔楼,54
蜀都惠园,3,1,83.58平米,西北,精装,1545000,1510000,18067,中楼层(共26层) 2010年建塔楼,357
上锦颐园,2,1,64.1平米,西南,精装,562000,570000,8768,高楼层(共25层) 2008年建板塔结合,21
保利香槟光华,3,2,88.95平米,南 北,精装,2000000,2000000,22485,低楼层(共18层) 2014年建板楼,14
东苑D区,3,1,140.82平米,东,精装,3150000,3150000,22369,低楼层(共26层) 2009年建板塔结合,63
保利城四期中央郡,3,1,83平米,东南,简装,1068000,1060000,12772,低楼层(共30层) 板塔结合,71
新都国际广场一期,3,2,110.93平米,西 西北,精装,1205000,1200000,10773,中楼层(共11层) 2014年建板塔结合,55
双吉社区48号院,2,1,77.49平米,西,精装,1240000,1240000,16003,高楼层(共18层) 板楼,32
合能珍宝琥珀三期,3,2,79.65平米,南,毛坯,1030000,1030000,12932,中楼层(共33层) 2017年建塔楼,171
西城角巷13号,2,1,74.11平米,西南,其他,1256000,1260000,16948,中楼层(共7层) 1993年建板塔结合,33
上霖东方,2,2,68.05平米,西北,精装,1080000,1080000,15783,中楼层(共24层) 2010年建板塔结合,70
鑫苑鑫都汇南区,3,2,84.92平米,西南,毛坯,1590000,1570000,18488,中楼层(共33层) 板塔结合,51
怡丰新城,3,2,116.1平米,北,精装,1740000,1740000,14988,低楼层(共6层) 2006年建板楼,17
时代欣城,3,2,97.36平米,南,精装,1436000,1440000,14750,低楼层(共28层) 塔楼,9
东山国际新城H区三期,3,1,81.5平米,东北,精装,1100000,1080000,13252,低楼层(共30层) 2015年建板塔结合,196
中冶中央公园,2,1,62.77平米,东南,简装,730000,730000,11503,中楼层(共32层) 2015年建板塔结合,157
